reference_code,workspace_id,user_email
TKT-2025-0001,1,cliente1@empresa.com
TKT-2025-0002,2,cliente2@empresa.com
TKT-2025-0003,3,cliente3@empresa.com
TKT-2025-0004,4,cliente4@empresa.com
TKT-2025-0005,5,cliente5@empresa.com
TKT-2025-0006,6,cliente6@empresa.com
TKT-2025-0007,7,cliente7@empresa.com
TKT-2025-0008,8,cliente8@empresa.com
TKT-2025-0009,9,cliente9@empresa.com
TKT-2025-0010,10,cliente10@empresa.com
TKT-2025-0011,11,cliente11@empresa.com
TKT-2025-0012,12,cliente12@empresa.com
TKT-2025-0013,13,cliente13@empresa.com
TKT-2025-0014,14,cliente14@empresa.com
TKT-2025-0015,15,cliente15@empresa.com
TKT-2025-0016,16,cliente16@empresa.com
TKT-2025-0017,17,cliente17@empresa.com
TKT-2025-0018,18,cliente18@empresa.com
TKT-2025-0019,19,cliente19@empresa.com
TKT-2025-0020,20,cliente20@empresa.com
TKT-2025-0021,21,cliente21@empresa.com
TKT-2025-0022,22,cliente22@empresa.com
TKT-2025-0023,23,cliente23@empresa.com
TKT-2025-0024,24,cliente24@empresa.com
TKT-2025-0025,25,cliente25@empresa.com
TKT-2025-0026,26,cliente26@empresa.com
TKT-2025-0027,27,cliente27@empresa.com
TKT-2025-0028,28,cliente28@empresa.com
TKT-2025-0029,29,cliente29@empresa.com
TKT-2025-0030,30,cliente30@empresa.com
