ticket_ref_id,email,code_hash,expires_at,attempts,is_used
1,cliente1@empresa.com,5e193296fb9d3e9af88b2bf656511254b4421a65fe4c296e880af0042c07f8a6,2026-10-25,0,0
2,cliente2@empresa.com,c92279e3fcb61711033af45ba2cc7374e10fe42fde770470e0de40dcec3e123d,2026-01-27,0,1
3,cliente3@empresa.com,00f90172a6855e7d3ebf869fd49bc38d75642781a137b984dd4a9bdb3a895a3b,2026-08-23,2,0
4,cliente4@empresa.com,99b1cb70ab4dffed3a00386f43f1f82a565472aa72fef7001a0e007529c39fbd,2026-05-12,1,1
5,cliente5@empresa.com,47c3fdb615c247aa3e3b5658e96754f13aed6b0adb06ff9bd645ebb69b130de4,2026-01-05,2,0
6,cliente6@empresa.com,ce3f45511a5697dd7a00510a9b053fbff577b106602d00c07eee86b16c13bf4c,2026-08-19,2,1
7,cliente7@empresa.com,e649b07b604f94859f53209fe4ba2ad29c732e014e3543f19956391bc6d21608,2026-05-17,2,0
8,cliente8@empresa.com,dd81889a8b22363533b24aa089ed695650f4a5ec7d0ea74ec7790781dfbb8efb,2026-10-21,0,0
9,cliente9@empresa.com,1cc0993e5c0cd4e7cbc1e22789aaa54ab14575353d534a13cec6b2fb163c1aa2,2026-11-15,2,0
10,cliente10@empresa.com,34915a73b163110604ef9eb90b204ccd13646024931901af469842ab72eba775,2026-04-07,2,1
11,cliente11@empresa.com,92f0141664031fc783e09e45b411084cc9ce65b71190fa708cdab41d2dfd13c1,2026-05-16,3,0
12,cliente12@empresa.com,44351545f2c8959d3393764572f085f14ee8d0ea3abf83f5665759d521b824d5,2026-01-16,2,1
13,cliente13@empresa.com,103f71b6205e1b8ade9f4118053bad860ddac597dc3674e91d30d217d93fecf9,2026-09-21,3,0
14,cliente14@empresa.com,c006c12755d3fc4b8e2315d8b0954668a9dd55ee9d67387afc71769f8e145c90,2026-10-20,3,0
15,cliente15@empresa.com,6a4196aa3b76cfb4395510766f1fcd1a28c6b2ad690539b5d9723337f9a303b4,2026-10-07,3,1
16,cliente16@empresa.com,77bcfd9de059d52119104d9a98e5fa803f4b96a3e806d57d799dd8cae2107cf4,2026-07-19,2,0
17,cliente17@empresa.com,7993e729b8638e84102eb367681bd723a24f452667caeca1a4029a6ffe0783e4,2026-01-04,1,0
18,cliente18@empresa.com,5941a60c52b308a9c78f946ec71dfc1d727ac6fdcc2384ac19cb9d8dcd5393ad,2026-07-13,1,0
19,cliente19@empresa.com,f9f04a8f3686b572e9abce55b485d3ee99ebcea316d6c9db9f2e6d20a5778b28,2026-08-04,1,0
20,cliente20@empresa.com,dde4d31bca74ce7054888668a1da33d6906db6f17b80afd89031a3f73cba3096,2026-06-26,2,0
21,cliente21@empresa.com,010984d41590f583b85c6965428f2ba53cd32a6d842a9e79bbf5f4fa404c48fa,2026-12-23,3,0
22,cliente22@empresa.com,200d047085f92d16adad261f02779724085dd15c67a494157c9602924f7bbc21,2026-09-01,2,0
23,cliente23@empresa.com,1de3b00d6561c3ddfc2721181d6caacf8ac6855b63f8ab11b7e16a8a565f1b24,2026-09-25,3,0
24,cliente24@empresa.com,61e07232c381e1bd870357a01ce24a06187a7ee22bceb77ebc7856da3a9b7512,2026-01-06,2,1
25,cliente25@empresa.com,2f73fb6e513f8b0102f0b77cfce814f04dc0a824946bdc2513b882c32a571b1e,2026-05-23,3,1
26,cliente26@empresa.com,68e43ab5e55f21230db2e19d19b5c71d8800ac357f92f3f6ff8bb31b0c40ebfd,2026-09-22,3,0
27,cliente27@empresa.com,0fb70678a9f3e0f7226c4971ee1d903fda986435442f669866d9f3514f144028,2026-01-12,2,0
28,cliente28@empresa.com,528fb6f9d751509a4a0825f5765b3a535439e5259d36c335d0e988c95cff7396,2026-02-17,1,0
29,cliente29@empresa.com,65c1b09c54d24f477f171452b5b7ae10c99dbb1effeb4594d40cbfdceff7c6c7,2026-01-01,3,0
30,cliente30@empresa.com,0396b4b45c534e0a1703d11e735bc8c9dc730f439ff09297956ecee634872a37,2026-04-10,2,0
