workspace_id,invited_by,email,token_hash,role,expires_at,is_used
1,1,invitado1@empresa.com,f3a6889a3a1f0c409132c6c84240afa762f8ca52f79e809a66e0d1df4d1386cc,VIEWER,2026-07-09,1
2,2,invitado2@empresa.com,438a4b0854faf0df1d64429d602756408d4c6ded2040332c14dbba7ce5164b4e,AGENT,2026-08-27,0
3,3,invitado3@empresa.com,99951f0e1e57ba84bef886a0ef1984b048a4d18fbf5ffd1c403511d4f888e04d,ADMIN,2026-09-12,0
4,4,invitado4@empresa.com,ede55fe11b181e8b020be05ec95b12041bfffb87e556b272159c14dcda093337,ADMIN,2026-12-21,0
5,5,invitado5@empresa.com,02dc28b537cca2ff60c825b6820b221df170830c2da1af165162568f8ef2ee64,AGENT,2026-05-17,0
6,6,invitado6@empresa.com,62d69a3c7997356a2798858378b43ff54bcdf23d165c8447d153aabd9fc847a5,ADMIN,2026-08-03,0
7,7,invitado7@empresa.com,91c4aa152fcbe3d55ea5126260e9e470a8582dcb9c6acaa6e2e68ed9f6ee2fd5,SUPERVISOR,2026-03-12,0
8,8,invitado8@empresa.com,a673b3150a65140383a407196b29f440ea56ff5dfb2f842a1f089610d047b328,AGENT,2026-08-13,0
9,9,invitado9@empresa.com,16ab8f0631c615bfbf246bfa1456018c6a02e069840fe95114f7a801d51e3843,SUPERVISOR,2026-12-09,0
10,10,invitado10@empresa.com,50af6f4e710caf7b66ef55888cecd71d303f76f024cf70bfc19c9bc6bcbb272d,SUPERVISOR,2026-06-15,1
11,11,invitado11@empresa.com,917d6c5bf3b38c96d161e782b86decdc52f328cca2c6f2779ac5bb4a2b311027,AGENT,2026-10-04,0
12,12,invitado12@empresa.com,222fba0eb89bee2f1e65cdb5af0412e38ef676ba34efcab968a20dad73e827b6,VIEWER,2026-03-12,0
13,13,invitado13@empresa.com,3f0e53053616c30c841f42fda0fb3a4b03a6f7e39c7fda290a3b889cd1999987,VIEWER,2026-04-09,0
14,14,invitado14@empresa.com,1c3353e427e8d65e36944a1004c7f72917fc7e6c92c3168133b307a0d44adc4c,SUPERVISOR,2026-12-22,0
15,15,invitado15@empresa.com,7a1e5e043a1f054f70ed2b6fb081f5cde5cecfff8f35a059e27356eea0c19c4e,AGENT,2026-09-04,0
16,16,invitado16@empresa.com,5288be3271f5cfaebb944966c9329faeff83d3f8df4231670c9735789f045b75,SUPERVISOR,2026-08-06,0
17,17,invitado17@empresa.com,9234f692b194b5398aa60b1e36791ce1ae75a8fd0908c109d4b9cbaa15879d6e,AGENT,2026-12-18,0
18,18,invitado18@empresa.com,67db0e491604ab62a7166b69158727caa32fc264139802c20b94efc9e1d6c28b,ADMIN,2026-12-23,0
19,19,invitado19@empresa.com,2525dff5980af6cdefdc6b78ffbd9c114a71ea6309059196cd7651c480628c27,VIEWER,2026-11-07,0
20,20,invitado20@empresa.com,2a8eb05947bb216f6487948fcdc5a7fbe5b4974645f92f93261ed7788538e5bc,VIEWER,2026-05-20,0
21,21,invitado21@empresa.com,e01c19cf8d86526bc0a37a4e1d2e657382445e4fd22844c4d38ab161bdbd1661,VIEWER,2026-05-19,0
22,22,invitado22@empresa.com,1ec8c01e4e1e13e61fc376146518c22f610eda33185146bec4f5d3cf29f7a2b1,ADMIN,2026-09-05,0
23,23,invitado23@empresa.com,0f7d8840b85e4456661a13c1526cabc6934afb7b30393fcd4f92e80f8292067b,AGENT,2026-07-01,1
24,24,invitado24@empresa.com,044368eeca3aad13d9204180d643c56b2c0fc868b726b7472bb8807583056c99,AGENT,2026-11-07,0
25,25,invitado25@empresa.com,df079fde04cc1e7ff92d9645a495207f299481d11cd1d05be80f882ca3bc4008,AGENT,2026-05-06,0
26,26,invitado26@empresa.com,f294b8860e055d35926795cd097410b30b2fe81c0c2cf5932b93fc99ace07423,VIEWER,2026-06-01,0
27,27,invitado27@empresa.com,9e8ab5689b3c38e80663c3fe1ae8b17b94b09cc45d0c3f18688e375bc884a3d6,AGENT,2026-12-12,0
28,28,invitado28@empresa.com,d91f120ee2665169365a9ee7ad69ff12fc5a4047f1e51ceef54c9005856d8d0b,AGENT,2026-10-12,0
29,29,invitado29@empresa.com,ed4003668d6f9647637df280d5d7f30a9755328444349e838fdacdd45813b06d,AGENT,2026-03-21,0
30,30,invitado30@empresa.com,ae99d38ef1ce183db699d0e57970fb1cec7eab7ec62c73fddc1f2b8fdeec07f5,AGENT,2026-04-17,0
